skill_pct,entries,cash_rate,cashes,realized_cash_rate,roi_pct,entries_bin
24.718270613672058,1,16.4023289969464,0,0.0,-100.0,1
16.419095353984332,3,13.912576419040084,0,0.0,-100.0,2-3
31.752371202951295,3,18.512559173730175,0,0.0,-100.0,2-3
10.875451388100753,12,12.249483229275011,0,0.0,-100.0,8-15
36.38096172084908,2,19.90113632909951,0,0.0,-100.0,2-3
7.26346357551341,3,11.165886885498809,0,0.0,-100.0,2-3
38.21213731604823,2,20.450489007659254,1,50.0,18.92427463209646,2-3
11.709096412630284,2,12.499576736633871,0,0.0,-100.0,2-3
12.737506843430207,10,12.808099865873848,2,20.0,-72.80999452525585,8-15
24.45443739745295,3,16.32317903208067,0,0.0,-100.0,2-3
38.42825815363775,2,20.515325258936112,0,0.0,-100.0,2-3
5.435929238224674,3,10.617626584312188,0,0.0,-100.0,2-3
25.659046115338956,1,16.684561647446472,0,0.0,-100.0,1
18.14972903821212,1,14.43176652430842,0,0.0,-100.0,1
9.403707127990057,3,11.807959951241804,0,0.0,-100.0,2-3
24.184858519219393,9,16.242305368610605,1,11.11111111111111,-79.80672954701362,8-15
8.984489226517752,1,11.682194580800113,0,0.0,-100.0,1
24.291318994265414,7,16.27424351112441,0,0.0,-100.0,4-7
10.480767844741177,2,12.13107816626714,1,50.0,-36.53846431051765,2-3
13.53500906024673,4,13.047350530918806,0,0.0,-100.0,4-7
19.648365228116873,15,14.881357381279848,3,20.0,-67.2813078175065,8-15
26.586261834278574,9,16.962726363128358,0,0.0,-100.0,8-15
11.188186567953021,4,12.343303783230693,0,0.0,-100.0,4-7
20.59691049227926,4,15.165920960528565,2,50.0,-16.306179015441487,4-7
13.853539727987608,15,13.142909731241067,1,6.666666666666667,-90.63905607253663,8-15
11.490685054686317,6,12.43405332925068,0,0.0,-100.0,4-7
26.77646839809699,8,17.019788332273883,1,12.5,-75.9867658009515,8-15
14.397223626416864,5,13.306014900769844,0,0.0,-100.0,4-7
11.864530630091329,5,12.546207001872183,1,20.0,-73.50837549592694,4-7
19.815602237157982,6,14.93152848399218,1,16.666666666666664,-72.62293184189468,4-7
6.095888675394465,10,10.815614415463127,1,10.0,-89.06164452984223,8-15
14.232018134869403,14,13.256453253305606,2,14.285714285714285,-79.72456106578892,8-15
21.317309477939204,4,15.382040656226547,0,0.0,-100.0,4-7
2.7422677257304526,6,9.80952813056392,2,33.33333333333333,-68.01030969902607,4-7
9.458815872549136,5,11.824492574609527,0,0.0,-100.0,4-7
14.35808119995401,4,13.29427217283099,0,0.0,-100.0,4-7
26.691745671214534,16,16.994371514209146,1,6.25,-88.01456358219637,16+
48.894374725301866,3,23.655160230435346,2,66.66666666666666,87.05166593413828,2-3
9.971596295724169,2,11.978326701562036,1,50.0,-37.556807408551656,2-3
